pca,results,kNN,LDA,SVM,Random Forest,AdaBoost,MLP
                   False, False, False, False],
       fill_value='?',
            dtype=object), 'params': [{'min_samples_split': 2, 'n_estimators': 10}, {'min_samples_split': 2, 'n_estimators': 20}, {'min_samples_split': 2, 'n_estimators': 30}, {'min_samples_split': 2, 'n_estimators': 40}, {'min_samples_split': 2, 'n_estimators': 50}, {'min_samples_split': 2, 'n_estimators': 60}, {'min_samples_split': 2, 'n_estimators': 70}, {'min_samples_split': 2, 'n_estimators': 80}, {'min_samples_split': 2, 'n_estimators': 90}, {'min_samples_split': 2, 'n_estimators': 100}, {'min_samples_split': 4, 'n_estimators': 10}, {'min_samples_split': 4, 'n_estimators': 20}, {'min_samples_split': 4, 'n_estimators': 30}, {'min_samples_split': 4, 'n_estimators': 40}, {'min_samples_split': 4, 'n_estimators': 50}, {'min_samples_split': 4, 'n_estimators': 60}, {'min_samples_split': 4, 'n_estimators': 70}, {'min_samples_split': 4, 'n_estimators': 80}, {'min_samples_split': 4, 'n_estimators': 90}, {'min_samples_split': 4, 'n_estimators': 100}, {'min_samples_split': 8, 'n_estimators': 10}, {'min_samples_split': 8, 'n_estimators': 20}, {'min_samples_split': 8, 'n_estimators': 30}, {'min_samples_split': 8, 'n_estimators': 40}, {'min_samples_split': 8, 'n_estimators': 50}, {'min_samples_split': 8, 'n_estimators': 60}, {'min_samples_split': 8, 'n_estimators': 70}, {'min_samples_split': 8, 'n_estimators': 80}, {'min_samples_split': 8, 'n_estimators': 90}, {'min_samples_split': 8, 'n_estimators': 100}, {'min_samples_split': 16, 'n_estimators': 10}, {'min_samples_split': 16, 'n_estimators': 20}, {'min_samples_split': 16, 'n_estimators': 30}, {'min_samples_split': 16, 'n_estimators': 40}, {'min_samples_split': 16, 'n_estimators': 50}, {'min_samples_split': 16, 'n_estimators': 60}, {'min_samples_split': 16, 'n_estimators': 70}, {'min_samples_split': 16, 'n_estimators': 80}, {'min_samples_split': 16, 'n_estimators': 90}, {'min_samples_split': 16, 'n_estimators': 100}, {'min_samples_split': 32, 'n_estimators': 10}, {'min_samples_split': 32, 'n_estimators': 20}, {'min_samples_split': 32, 'n_estimators': 30}, {'min_samples_split': 32, 'n_estimators': 40}, {'min_samples_split': 32, 'n_estimators': 50}, {'min_samples_split': 32, 'n_estimators': 60}, {'min_samples_split': 32, 'n_estimators': 70}, {'min_samples_split': 32, 'n_estimators': 80}, {'min_samples_split': 32, 'n_estimators': 90}, {'min_samples_split': 32, 'n_estimators': 100}, {'min_samples_split': 64, 'n_estimators': 10}, {'min_samples_split': 64, 'n_estimators': 20}, {'min_samples_split': 64, 'n_estimators': 30}, {'min_samples_split': 64, 'n_estimators': 40}, {'min_samples_split': 64, 'n_estimators': 50}, {'min_samples_split': 64, 'n_estimators': 60}, {'min_samples_split': 64, 'n_estimators': 70}, {'min_samples_split': 64, 'n_estimators': 80}, {'min_samples_split': 64, 'n_estimators': 90}, {'min_samples_split': 64, 'n_estimators': 100}, {'min_samples_split': 128, 'n_estimators': 10}, {'min_samples_split': 128, 'n_estimators': 20}, {'min_samples_split': 128, 'n_estimators': 30}, {'min_samples_split': 128, 'n_estimators': 40}, {'min_samples_split': 128, 'n_estimators': 50}, {'min_samples_split': 128, 'n_estimators': 60}, {'min_samples_split': 128, 'n_estimators': 70}, {'min_samples_split': 128, 'n_estimators': 80}, {'min_samples_split': 128, 'n_estimators': 90}, {'min_samples_split': 128, 'n_estimators': 100}, {'min_samples_split': 256, 'n_estimators': 10}, {'min_samples_split': 256, 'n_estimators': 20}, {'min_samples_split': 256, 'n_estimators': 30}, {'min_samples_split': 256, 'n_estimators': 40}, {'min_samples_split': 256, 'n_estimators': 50}, {'min_samples_split': 256, 'n_estimators': 60}, {'min_samples_split': 256, 'n_estimators': 70}, {'min_samples_split': 256, 'n_estimators': 80}, {'min_samples_split': 256, 'n_estimators': 90}, {'min_samples_split': 256, 'n_estimators': 100}, {'min_samples_split': 512, 'n_estimators': 10}, {'min_samples_split': 512, 'n_estimators': 20}, {'min_samples_split': 512, 'n_estimators': 30}, {'min_samples_split': 512, 'n_estimators': 40}, {'min_samples_split': 512, 'n_estimators': 50}, {'min_samples_split': 512, 'n_estimators': 60}, {'min_samples_split': 512, 'n_estimators': 70}, {'min_samples_split': 512, 'n_estimators': 80}, {'min_samples_split': 512, 'n_estimators': 90}, {'min_samples_split': 512, 'n_estimators': 100}, {'min_samples_split': 1024, 'n_estimators': 10}, {'min_samples_split': 1024, 'n_estimators': 20}, {'min_samples_split': 1024, 'n_estimators': 30}, {'min_samples_split': 1024, 'n_estimators': 40}, {'min_samples_split': 1024, 'n_estimators': 50}, {'min_samples_split': 1024, 'n_estimators': 60}, {'min_samples_split': 1024, 'n_estimators': 70}, {'min_samples_split': 1024, 'n_estimators': 80}, {'min_samples_split': 1024, 'n_estimators': 90}, {'min_samples_split': 1024, 'n_estimators': 100}], 'split0_test_score': array([0.75415282, 0.75083056, 0.75415282, 0.75747508, 0.75747508,
       0.75747508, 0.75415282, 0.75747508, 0.76079734, 0.76079734,
       0.75415282, 0.75747508, 0.75415282, 0.75747508, 0.75747508,
       0.7641196 , 0.75415282, 0.75747508, 0.75415282, 0.76079734,
       0.7641196 , 0.74750831, 0.75747508, 0.75747508, 0.76079734,
       0.75415282, 0.75747508, 0.76079734, 0.75083056, 0.75747508,
       0.76079734, 0.7641196 , 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.75747508, 0.7641196 , 0.75747508, 0.75747508,
       0.75415282, 0.75747508, 0.75747508, 0.76079734, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.76079734, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.76079734, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.76079734, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.76079734, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508]), 'split1_test_score': array([0.75415282, 0.75083056, 0.75415282, 0.75747508, 0.75415282,
       0.75415282, 0.75415282, 0.75083056, 0.75747508, 0.75415282,
       0.75747508, 0.75083056, 0.75415282, 0.75083056, 0.75415282,
       0.75083056, 0.75083056, 0.75083056, 0.75415282, 0.75415282,
       0.75415282, 0.75415282, 0.75083056, 0.75083056, 0.75415282,
       0.75083056, 0.75083056, 0.75083056, 0.74750831, 0.74750831,
       0.75415282, 0.76079734, 0.75747508, 0.75415282, 0.75083056,
       0.75083056, 0.75083056, 0.74750831, 0.75083056, 0.75747508,
       0.74086379, 0.74086379, 0.74750831, 0.74086379, 0.74750831,
       0.74086379, 0.74418605, 0.74086379, 0.74086379, 0.74750831,
       0.74418605, 0.74086379, 0.73754153, 0.74086379, 0.74750831,
       0.74086379, 0.74750831, 0.74750831, 0.74086379, 0.74086379,
       0.74750831, 0.74750831, 0.74086379, 0.74750831, 0.74750831,
       0.74086379, 0.74750831, 0.74750831, 0.74086379, 0.74750831,
       0.74086379, 0.74750831, 0.74086379, 0.74750831, 0.74750831,
       0.74086379, 0.74750831, 0.74750831, 0.74750831, 0.74750831,
       0.74086379, 0.74750831, 0.74086379, 0.74750831, 0.74750831,
       0.74086379, 0.74750831, 0.74750831, 0.74750831, 0.74750831,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508,
       0.75747508, 0.75747508, 0.75747508, 0.75747508, 0.75747508]), 'split2_test_score': array([0.76333333, 0.76      , 0.75333333, 0.75333333, 0.75333333,
       0.75333333, 0.75333333, 0.75      , 0.74666667, 0.75333333,
       0.74333333, 0.76333333, 0.76666667, 0.76      , 0.75666667,
       0.75333333, 0.75      , 0.75666667, 0.76      , 0.75333333,
       0.76333333, 0.76      , 0.76333333, 0.76      , 0.75333333,
       0.76      , 0.76333333, 0.76      , 0.76333333, 0.76      ,
       0.75666667, 0.76666667, 0.76333333, 0.76333333, 0.76666667,
       0.76333333, 0.76333333, 0.76333333, 0.76333333, 0.76333333,
       0.76      , 0.76      , 0.76333333, 0.76      , 0.76333333,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76333333, 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ]), 'split3_test_score': array([0.77257525, 0.76588629, 0.76588629, 0.76923077, 0.76588629,
       0.77257525, 0.76923077, 0.77257525, 0.76923077, 0.76923077,
       0.76588629, 0.76923077, 0.77257525, 0.76923077, 0.77257525,
       0.77591973, 0.76923077, 0.77257525, 0.77257525, 0.76923077,
       0.77257525, 0.76923077, 0.77257525, 0.77591973, 0.77257525,
       0.77591973, 0.77591973, 0.77257525, 0.77591973, 0.77591973,
       0.76588629, 0.77257525, 0.77257525, 0.76588629, 0.77257525,
       0.76923077, 0.76923077, 0.77257525, 0.77257525, 0.76923077,
       0.76923077, 0.76588629, 0.76588629, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76588629, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76588629, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181]), 'split4_test_score': array([0.73913043, 0.74247492, 0.73913043, 0.74247492, 0.73913043,
       0.74247492, 0.7458194 , 0.73913043, 0.73913043, 0.73913043,
       0.7458194 , 0.73578595, 0.74247492, 0.73578595, 0.73578595,
       0.74916388, 0.73913043, 0.74247492, 0.73913043, 0.74916388,
       0.72909699, 0.7458194 , 0.73913043, 0.74247492, 0.73578595,
       0.73913043, 0.73913043, 0.7458194 , 0.73244147, 0.73913043,
       0.73913043, 0.74247492, 0.73913043, 0.73913043, 0.73913043,
       0.73913043, 0.74247492, 0.73913043, 0.73913043, 0.74247492,
       0.7458194 , 0.74916388, 0.73913043, 0.73913043, 0.74916388,
       0.7458194 , 0.74247492, 0.7458194 , 0.75250836, 0.74916388,
       0.75250836, 0.75250836, 0.74916388, 0.75250836, 0.75250836,
       0.75250836, 0.74916388, 0.75585284, 0.75250836, 0.75250836,
       0.75585284, 0.75585284, 0.75250836, 0.75585284, 0.75250836,
       0.75585284, 0.75250836, 0.75585284, 0.75250836, 0.75585284,
       0.75585284, 0.75585284, 0.75585284, 0.75585284, 0.75250836,
       0.75585284, 0.75250836, 0.75250836, 0.75585284, 0.75250836,
       0.75585284, 0.76254181, 0.75585284, 0.75585284, 0.75585284,
       0.76254181, 0.76254181, 0.76254181, 0.75250836, 0.75250836,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181,
       0.76254181, 0.76254181, 0.76254181, 0.76254181, 0.76254181]), 'mean_test_score': array([0.75666667, 0.754     , 0.75333333, 0.756     , 0.754     ,
       0.756     , 0.75533333, 0.754     , 0.75466667, 0.75533333,
       0.75333333, 0.75533333, 0.758     , 0.75466667, 0.75533333,
       0.75866667, 0.75266667, 0.756     , 0.756     , 0.75733333,
       0.75666667, 0.75533333, 0.75666667, 0.75733333, 0.75533333,
       0.756     , 0.75733333, 0.758     , 0.754     , 0.756     ,
       0.75533333, 0.76133333, 0.758     , 0.756     , 0.75733333,
       0.756     , 0.75666667, 0.75733333, 0.75666667, 0.758     ,
       0.754     , 0.75466667, 0.75466667, 0.75266667, 0.756     ,
       0.75333333, 0.75333333, 0.75333333, 0.75533333, 0.75533333,
       0.75533333, 0.75466667, 0.754     , 0.75466667, 0.756     ,
       0.75466667, 0.756     , 0.75666667, 0.75466667, 0.75466667,
       0.75666667, 0.75666667, 0.75466667, 0.75666667, 0.756     ,
       0.75533333, 0.756     , 0.75666667, 0.75533333, 0.75666667,
       0.75533333, 0.75666667, 0.75533333, 0.75733333, 0.756     ,
       0.756     , 0.756     , 0.756     , 0.75666667, 0.756     ,
       0.75533333, 0.75866667, 0.75533333, 0.75666667, 0.75666667,
       0.75666667, 0.758     , 0.758     , 0.756     , 0.756     ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ]), 'std_test_score': array([0.01109828, 0.0081161 , 0.00847878, 0.00858214, 0.00864597,
       0.00968358, 0.00760927, 0.01097681, 0.01059811, 0.00989451,
       0.00813889, 0.01150883, 0.0105524 , 0.01111595, 0.01170382,
       0.01006544, 0.0096828 , 0.00985475, 0.01077315, 0.00701118,
       0.01494195, 0.00857111, 0.01129608, 0.01108059, 0.0119371 ,
       0.01204444, 0.01227184, 0.0091981 , 0.01470759, 0.01240676,
       0.0090087 , 0.01016795, 0.01091422, 0.00938542, 0.01175875,
       0.01040073, 0.00935242, 0.01217245, 0.01129608, 0.00888743,
       0.01007036, 0.00875388, 0.01000468, 0.01038933, 0.00659605,
       0.00846697, 0.00833826, 0.00846697, 0.00801924, 0.00595885,
       0.00649306, 0.00766768, 0.00983894, 0.00766768, 0.0053914 ,
       0.00766768, 0.00633514, 0.00511829, 0.00766768, 0.00766768,
       0.00511829, 0.00511829, 0.00766768, 0.00511829, 0.0053914 ,
       0.0075961 , 0.0053914 , 0.00511829, 0.00843082, 0.00511829,
       0.0075961 , 0.00511829, 0.0075961 , 0.00569378, 0.0053914 ,
       0.00789473, 0.0053914 , 0.0053914 , 0.00511829, 0.0053914 ,
       0.0075961 , 0.00567785, 0.0075961 , 0.00511829, 0.00511829,
       0.00813799, 0.00558279, 0.00558279, 0.0053914 , 0.0053914 ,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589]), 'rank_test_score': array([26, 88, 94, 42, 88, 42, 62, 88, 78, 62, 94, 62, 14, 78, 62, 12, 99,
       42, 42, 20, 26, 62, 26, 20, 62, 42, 20, 14, 88, 42, 62,  1, 14, 42,
       20, 42, 26, 20, 26, 14, 88, 78, 78, 99, 42, 94, 94, 94, 62, 62, 62,
       78, 88, 78, 42, 78, 42, 26, 78, 78, 26, 26, 78, 26, 42, 62, 42, 26,
       62, 26, 62, 26, 62, 20, 42, 42, 42, 42, 26, 42, 62, 12, 62, 26, 26,
       26, 14, 14, 42, 42,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2],
      dtype=int32), 'split0_train_score': array([0.78398666, 0.7881568 , 0.7881568 , 0.78899083, 0.78732277,
       0.78982485, 0.79065888, 0.7881568 , 0.78732277, 0.7881568 ,
       0.78065054, 0.7823186 , 0.78482068, 0.78482068, 0.77981651,
       0.78065054, 0.78648874, 0.78565471, 0.78565471, 0.78482068,
       0.77231026, 0.77731443, 0.78065054, 0.77814846, 0.7764804 ,
       0.77731443, 0.77481234, 0.77731443, 0.77481234, 0.77731443,
       0.76647206, 0.77147623, 0.76980817, 0.77147623, 0.7706422 ,
       0.76814012, 0.76980817, 0.76814012, 0.76897415, 0.76814012,
       0.76230192, 0.76063386, 0.76063386, 0.76563803, 0.76063386,
       0.75979983, 0.76063386, 0.75979983, 0.76146789, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.7589658 , 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.75979983, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.7589658 ,
       0.7589658 , 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.7589658 , 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386]), 'split1_train_score': array([0.78648874, 0.7881568 , 0.79065888, 0.79149291, 0.79149291,
       0.79149291, 0.79065888, 0.79149291, 0.79232694, 0.79149291,
       0.78648874, 0.78648874, 0.78565471, 0.78565471, 0.78732277,
       0.78648874, 0.7881568 , 0.78482068, 0.7881568 , 0.7881568 ,
       0.77981651, 0.78065054, 0.77814846, 0.77981651, 0.77898249,
       0.78148457, 0.78065054, 0.78148457, 0.77898249, 0.77898249,
       0.77147623, 0.77564637, 0.77231026, 0.77231026, 0.7706422 ,
       0.77314429, 0.77231026, 0.7764804 , 0.77231026, 0.77231026,
       0.76563803, 0.76396997, 0.764804  , 0.76396997, 0.764804  ,
       0.764804  , 0.764804  , 0.76396997, 0.76313595, 0.76563803,
       0.76647206, 0.76396997, 0.764804  , 0.76313595, 0.76313595,
       0.764804  , 0.76313595, 0.76313595, 0.76396997, 0.76396997,
       0.76313595, 0.76313595, 0.76313595, 0.76313595, 0.76313595,
       0.76313595, 0.76313595, 0.76313595, 0.76313595, 0.76313595,
       0.76313595, 0.76313595, 0.76313595, 0.76313595, 0.76313595,
       0.76313595, 0.76313595, 0.76313595, 0.76313595, 0.76313595,
       0.76313595, 0.76313595, 0.76313595, 0.76313595, 0.76230192,
       0.76313595, 0.76230192, 0.76313595, 0.76313595, 0.76230192,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386]), 'split2_train_score': array([0.78666667, 0.78416667, 0.78916667, 0.78833333, 0.7875    ,
       0.78833333, 0.78833333, 0.78833333, 0.78833333, 0.78916667,
       0.7825    , 0.78583333, 0.78333333, 0.7825    , 0.785     ,
       0.78416667, 0.78583333, 0.785     , 0.7825    , 0.78333333,
       0.77416667, 0.77333333, 0.77333333, 0.77416667, 0.775     ,
       0.775     , 0.77333333, 0.77333333, 0.77666667, 0.77666667,
       0.76833333, 0.76666667, 0.76916667, 0.7675    , 0.76833333,
       0.76916667, 0.76916667, 0.77      , 0.77      , 0.77      ,
       0.76      , 0.75916667, 0.75916667, 0.76      , 0.75916667,
       0.76083333, 0.76083333, 0.76083333, 0.76      , 0.76166667,
       0.75833333, 0.76      , 0.76      , 0.75916667, 0.75916667,
       0.76      , 0.75916667, 0.76      , 0.75916667, 0.76      ,
       0.75916667, 0.75916667, 0.76      , 0.76      , 0.75916667,
       0.75916667, 0.76      , 0.76      , 0.75916667, 0.76      ,
       0.76      , 0.76      , 0.76      , 0.75916667, 0.76      ,
       0.76      , 0.76      , 0.75916667, 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ]), 'split3_train_score': array([0.7868443 , 0.78850958, 0.79350541, 0.79100749, 0.79350541,
       0.79184013, 0.79267277, 0.79184013, 0.79350541, 0.79433805,
       0.78101582, 0.78101582, 0.78018318, 0.78351374, 0.78934221,
       0.78517902, 0.78767694, 0.78850958, 0.78351374, 0.78434638,
       0.77352206, 0.7743547 , 0.7743547 , 0.7785179 , 0.77518734,
       0.7785179 , 0.77768526, 0.77768526, 0.77685262, 0.77935054,
       0.76686095, 0.76935887, 0.77102415, 0.77019151, 0.77185679,
       0.77102415, 0.76769359, 0.77019151, 0.76935887, 0.77102415,
       0.76602831, 0.75770192, 0.76353039, 0.76269775, 0.75853455,
       0.75936719, 0.75936719, 0.76019983, 0.75936719, 0.76269775,
       0.75936719, 0.75936719, 0.75853455, 0.75936719, 0.75936719,
       0.75853455, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75770192, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719]), 'split4_train_score': array([0.79267277, 0.79350541, 0.79517069, 0.79433805, 0.79517069,
       0.79517069, 0.79600333, 0.79600333, 0.79517069, 0.79517069,
       0.78184846, 0.78934221, 0.78934221, 0.79184013, 0.79017485,
       0.79017485, 0.78850958, 0.79017485, 0.79017485, 0.78850958,
       0.78434638, 0.7826811 , 0.7826811 , 0.78184846, 0.78351374,
       0.78434638, 0.78184846, 0.78434638, 0.7826811 , 0.78184846,
       0.77685262, 0.77518734, 0.77268943, 0.77768526, 0.77685262,
       0.77352206, 0.7743547 , 0.77268943, 0.77518734, 0.77518734,
       0.76935887, 0.76519567, 0.76519567, 0.76686095, 0.76519567,
       0.76686095, 0.76769359, 0.76602831, 0.76935887, 0.76519567,
       0.76186511, 0.76436303, 0.76436303, 0.76436303, 0.76186511,
       0.76436303, 0.76436303, 0.76186511, 0.76436303, 0.76186511,
       0.76186511, 0.76186511, 0.76186511, 0.76186511, 0.76186511,
       0.76186511, 0.76186511, 0.76186511, 0.76186511, 0.76186511,
       0.76019983, 0.76186511, 0.76186511, 0.76186511, 0.76186511,
       0.76186511, 0.76186511, 0.76186511, 0.76186511, 0.76186511,
       0.76186511, 0.75936719, 0.76186511, 0.76186511, 0.76019983,
       0.75936719, 0.75936719, 0.75936719, 0.76019983, 0.76186511,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719]), 'mean_train_score': array([0.78733183, 0.78849905, 0.79133169, 0.79083252, 0.79099836,
       0.79133238, 0.79166544, 0.7911653 , 0.79133183, 0.79166502,
       0.78250071, 0.78499974, 0.78466683, 0.78566585, 0.78633127,
       0.78533196, 0.78733308, 0.78683197, 0.78600002, 0.78583335,
       0.77683238, 0.77766682, 0.77783363, 0.7784996 , 0.77783279,
       0.77933266, 0.77766599, 0.77883279, 0.77799904, 0.77883252,
       0.76999904, 0.7716671 , 0.77099973, 0.77183265, 0.77166543,
       0.77099946, 0.77066668, 0.77150029, 0.77116612, 0.77133237,
       0.76466543, 0.76133362, 0.76266612, 0.76383334, 0.76166695,
       0.76233306, 0.7626664 , 0.76216626, 0.76266598, 0.7631664 ,
       0.76133431, 0.76166681, 0.76166709, 0.76133334, 0.76083376,
       0.76166709, 0.76099973, 0.76100042, 0.76150015, 0.76116723,
       0.76083376, 0.76083376, 0.76100042, 0.76100042, 0.76083376,
       0.76066695, 0.76100042, 0.76100042, 0.7605007 , 0.76100042,
       0.76066737, 0.76100042, 0.76100042, 0.76083376, 0.76066681,
       0.76066681, 0.76100042, 0.76083376, 0.76100042, 0.76100042,
       0.76100042, 0.76016723, 0.76100042, 0.76100042, 0.76050056,
       0.76050084, 0.76033403, 0.76050084, 0.76066737, 0.76083362,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042]), 'std_train_score': array([0.00286729, 0.00296876, 0.00263374, 0.00211628, 0.00315236,
       0.00229273, 0.00256754, 0.00286497, 0.00301712, 0.00275731,
       0.00209561, 0.0029943 , 0.00299133, 0.00327079, 0.00371581,
       0.00310125, 0.0010142 , 0.00213432, 0.00285068, 0.00209987,
       0.00455805, 0.00357544, 0.00357457, 0.00252377, 0.00317638,
       0.00326426, 0.00326546, 0.00377618, 0.00268825, 0.0018101 ,
       0.00385267, 0.00342331, 0.0013677 , 0.00334883, 0.00283339,
       0.00212129, 0.00237189, 0.00287993, 0.00231992, 0.00236126,
       0.00323061, 0.00283691, 0.00237033, 0.00238437, 0.00280797,
       0.00296884, 0.00310542, 0.00242538, 0.00359   , 0.00195497,
       0.00282999, 0.00208363, 0.00248064, 0.00207258, 0.00150557,
       0.00248064, 0.00228199, 0.00134987, 0.00223791, 0.00162662,
       0.00150557, 0.00150557, 0.00134987, 0.00134987, 0.00150557,
       0.00156356, 0.00134987, 0.00134987, 0.00192025, 0.00134987,
       0.00129996, 0.00134987, 0.00134987, 0.00150557, 0.00158491,
       0.00158491, 0.00134987, 0.00150557, 0.00134987, 0.00134987,
       0.00134987, 0.00152084, 0.00134987, 0.00134987, 0.00098875,
       0.00139876, 0.00109028, 0.00139876, 0.00129996, 0.001105  ,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647])}","{'mean_fit_time': array([0.02843304, 0.0584167 , 0.05692973, 0.08572354, 0.09490876,
       0.11165047, 0.13114915, 0.14902329, 0.16736703, 0.18877254,
       0.01926847, 0.03791461, 0.05756016, 0.07428141, 0.0934341 ,
       0.11261544, 0.13287334, 0.14932585, 0.1708529 , 0.20067916,
       0.01854038, 0.03695431, 0.05555034, 0.07408376, 0.09592795,
       0.11099267, 0.13061166, 0.15002675, 0.1681252 , 0.18730545,
       0.01883926, 0.0377841 , 0.05540543, 0.07439384, 0.10369706,
       0.11141186, 0.13114047, 0.15236301, 0.1659584 , 0.18608861,
       0.01890707, 0.03774505, 0.05598707, 0.07468076, 0.09365125,
       0.11459169, 0.13843355, 0.14971824, 0.16747842, 0.17358966]), 'std_fit_time': array([0.00437847, 0.01238482, 0.00111944, 0.02123124, 0.00211855,
       0.00070536, 0.00283145, 0.00228518, 0.00170014, 0.00662734,
       0.000635  , 0.00177086, 0.00235294, 0.00068064, 0.00053665,
       0.0029149 , 0.00320916, 0.00014331, 0.00451132, 0.02017482,
       0.00015657, 0.00039565, 0.000146  , 0.00041789, 0.00485771,
       0.00088846, 0.00052309, 0.0008648 , 0.00125579, 0.00242959,
       0.00019962, 0.00088753, 0.00058375, 0.00065604, 0.01990519,
       0.00114968, 0.00055398, 0.00656342, 0.00188194, 0.00245878,
       0.00029293, 0.00059562, 0.00054357, 0.00042057, 0.00044092,
       0.00647997, 0.01307751, 0.00125233, 0.0005851 , 0.01581781]), 'mean_score_time': array([0.00472608, 0.00440092, 0.00647688, 0.00930686, 0.01028461,
       0.01245241, 0.01400948, 0.01618681, 0.01865268, 0.02046976,
       0.00247703, 0.00431509, 0.00634189, 0.0088275 , 0.01034765,
       0.01203628, 0.01435661, 0.01581006, 0.01809025, 0.0244813 ,
       0.002384  , 0.00436792, 0.00672169, 0.00815635, 0.01189957,
       0.01218119, 0.01476402, 0.01632066, 0.01859951, 0.02050633,
       0.00241418, 0.00436063, 0.00642266, 0.00829782, 0.01056094,
